Transcript_ID	Length	Longest_ORF	Coding_Score	Classification
Cp_V2_contig_10993	2081	321	0.154	lncRNA
Cp_V2_contig_10994	2088	216	0.103	lncRNA
Cp_V2_contig_10995	1692	132	0.078	lncRNA
Cp_V2_contig_10996	378	186	0.492	lncRNA
Cp_V2_contig_10997	1662	174	0.105	lncRNA
Cp_V2_contig_10998	476	90	0.189	lncRNA
Cp_V2_contig_10999	534	165	0.309	lncRNA
Cp_V2_contig_11000	522	108	0.207	lncRNA
Cp_V2_contig_11001	1378	1149	0.834	coding
Cp_V2_contig_11002	1730	246	0.142	lncRNA
Cp_V2_contig_11003	562	270	0.480	lncRNA
Cp_V2_contig_11004	582	99	0.170	lncRNA
Cp_V2_contig_11005	460	48	0.104	lncRNA
Cp_V2_contig_11006	508	210	0.413	lncRNA
Cp_V2_contig_11007	1563	186	0.119	lncRNA
Cp_V2_contig_11008	428	183	0.428	lncRNA
Cp_V2_contig_11009	493	192	0.389	lncRNA
Cp_V2_contig_11010	374	42	0.112	lncRNA
Cp_V2_contig_11011	694	195	0.281	lncRNA
Cp_V2_contig_11012	1041	129	0.124	lncRNA
Cp_V2_contig_11013	555	42	0.076	lncRNA
Cp_V2_contig_11014	319	51	0.160	lncRNA
Cp_V2_contig_11015	438	72	0.164	lncRNA
Cp_V2_contig_11016	1074	255	0.237	lncRNA
Cp_V2_contig_11017	375	99	0.264	lncRNA
Cp_V2_contig_11018	346	0	0.000	lncRNA
Cp_V2_contig_11019	570	78	0.137	lncRNA
Cp_V2_contig_11020	440	108	0.245	lncRNA
Cp_V2_contig_11021	499	132	0.265	lncRNA
Cp_V2_contig_11022	301	24	0.080	lncRNA
Cp_V2_contig_11023	307	171	0.557	coding
Cp_V2_contig_11024	404	81	0.200	lncRNA
Cp_V2_contig_11025	697	402	0.577	coding
Cp_V2_contig_11026	1134	222	0.196	lncRNA
Cp_V2_contig_11027	334	30	0.090	lncRNA
Cp_V2_contig_11028	837	69	0.082	lncRNA
Cp_V2_contig_11029	1256	795	0.633	coding
Cp_V2_contig_11030	572	78	0.136	lncRNA
Cp_V2_contig_11031	795	486	0.611	coding
Cp_V2_contig_11032	395	288	0.729	coding
Cp_V2_contig_11033	564	306	0.543	coding
Cp_V2_contig_11034	2469	390	0.158	lncRNA
Cp_V2_contig_11035	527	75	0.142	lncRNA
Cp_V2_contig_11036	602	60	0.100	lncRNA
Cp_V2_contig_11037	425	240	0.565	coding
Cp_V2_contig_11038	808	255	0.316	lncRNA
Cp_V2_contig_11039	1461	1257	0.860	coding
Cp_V2_contig_11040	1408	318	0.226	lncRNA
Cp_V2_contig_11041	676	87	0.129	lncRNA
Cp_V2_contig_11042	1864	1725	0.925	coding
Cp_V2_contig_11043	413	9	0.022	lncRNA
Cp_V2_contig_11044	1831	1485	0.811	coding
Cp_V2_contig_11045	325	147	0.452	lncRNA
Cp_V2_contig_11046	381	180	0.472	lncRNA
Cp_V2_contig_11047	1527	1149	0.752	coding
Cp_V2_contig_11048	1999	366	0.183	lncRNA
Cp_V2_contig_11049	596	468	0.785	coding
Cp_V2_contig_11050	461	81	0.176	lncRNA
Cp_V2_contig_11051	942	150	0.159	lncRNA
Cp_V2_contig_11052	721	75	0.104	lncRNA
Cp_V2_contig_11053	574	36	0.063	lncRNA
Cp_V2_contig_11054	327	36	0.110	lncRNA
Cp_V2_contig_11055	610	87	0.143	lncRNA
Cp_V2_contig_11056	399	78	0.195	lncRNA
Cp_V2_contig_11057	372	165	0.444	lncRNA
Cp_V2_contig_11058	812	210	0.259	lncRNA
Cp_V2_contig_11059	1285	318	0.247	lncRNA
Cp_V2_contig_11060	572	390	0.682	coding
Cp_V2_contig_11061	352	84	0.239	lncRNA
Cp_V2_contig_11062	2051	1899	0.926	coding
Cp_V2_contig_11063	1657	1269	0.766	coding
Cp_V2_contig_11064	426	75	0.176	lncRNA
Cp_V2_contig_11065	309	75	0.243	lncRNA
Cp_V2_contig_11066	769	150	0.195	lncRNA
Cp_V2_contig_11067	1049	81	0.077	lncRNA
Cp_V2_contig_11068	1234	1125	0.912	coding
Cp_V2_contig_11069	722	105	0.145	lncRNA
Cp_V2_contig_11070	476	48	0.101	lncRNA
Cp_V2_contig_11071	1163	312	0.268	lncRNA
Cp_V2_contig_11072	1390	1083	0.779	coding
Cp_V2_contig_11073	581	159	0.274	lncRNA
Cp_V2_contig_11074	2281	126	0.055	lncRNA
Cp_V2_contig_11075	1202	69	0.057	lncRNA
Cp_V2_contig_11076	988	837	0.847	coding
Cp_V2_contig_11077	1122	522	0.465	lncRNA
Cp_V2_contig_11078	664	105	0.158	lncRNA
Cp_V2_contig_11079	329	135	0.410	lncRNA
Cp_V2_contig_11080	464	63	0.136	lncRNA
Cp_V2_contig_11081	1097	129	0.118	lncRNA
Cp_V2_contig_11082	857	177	0.207	lncRNA
Cp_V2_contig_11083	331	78	0.236	lncRNA
Cp_V2_contig_11084	914	87	0.095	lncRNA
Cp_V2_contig_11085	340	123	0.362	lncRNA
Cp_V2_contig_11086	845	603	0.714	coding
Cp_V2_contig_11087	696	114	0.164	lncRNA
Cp_V2_contig_11088	405	93	0.230	lncRNA
Cp_V2_contig_11089	427	60	0.141	lncRNA
Cp_V2_contig_11090	362	51	0.141	lncRNA
Cp_V2_contig_11091	650	21	0.032	lncRNA
Cp_V2_contig_11092	1589	147	0.093	lncRNA
Cp_V2_contig_11093	392	282	0.719	coding
Cp_V2_contig_11094	1732	1551	0.895	coding
Cp_V2_contig_11095	1771	231	0.130	lncRNA
Cp_V2_contig_11096	1864	123	0.066	lncRNA
Cp_V2_contig_11097	694	171	0.246	lncRNA
Cp_V2_contig_11098	323	69	0.214	lncRNA
Cp_V2_contig_11099	305	90	0.295	lncRNA
Cp_V2_contig_11100	1035	159	0.154	lncRNA
Cp_V2_contig_11101	1090	192	0.176	lncRNA
Cp_V2_contig_11102	301	186	0.618	coding
Cp_V2_contig_11103	938	207	0.221	lncRNA
Cp_V2_contig_11104	1576	219	0.139	lncRNA
Cp_V2_contig_11105	1454	309	0.213	lncRNA
Cp_V2_contig_11106	329	201	0.611	coding
Cp_V2_contig_11107	913	429	0.470	lncRNA
Cp_V2_contig_11108	1067	66	0.062	lncRNA
Cp_V2_contig_11109	382	75	0.196	lncRNA
Cp_V2_contig_11110	410	21	0.051	lncRNA
Cp_V2_contig_11111	721	153	0.212	lncRNA
Cp_V2_contig_11112	892	132	0.148	lncRNA
Cp_V2_contig_11113	696	84	0.121	lncRNA
Cp_V2_contig_11114	1939	1809	0.933	coding
Cp_V2_contig_11115	566	81	0.143	lncRNA
Cp_V2_contig_11116	318	81	0.255	lncRNA
Cp_V2_contig_11117	323	105	0.325	lncRNA
Cp_V2_contig_11118	368	153	0.416	lncRNA
Cp_V2_contig_11119	380	75	0.197	lncRNA
Cp_V2_contig_11120	1736	243	0.140	lncRNA
Cp_V2_contig_11121	1197	525	0.439	lncRNA
Cp_V2_contig_11122	863	72	0.083	lncRNA
Cp_V2_contig_11123	321	144	0.449	lncRNA
Cp_V2_contig_11124	450	63	0.140	lncRNA
Cp_V2_contig_11125	737	81	0.110	lncRNA
Cp_V2_contig_11126	312	72	0.231	lncRNA
Cp_V2_contig_11127	787	48	0.061	lncRNA
Cp_V2_contig_11128	1496	420	0.281	lncRNA
Cp_V2_contig_11129	1703	240	0.141	lncRNA
Cp_V2_contig_11130	682	543	0.796	coding
Cp_V2_contig_11131	334	39	0.117	lncRNA
Cp_V2_contig_11132	651	117	0.180	lncRNA
Cp_V2_contig_11133	921	531	0.577	coding
Cp_V2_contig_11134	313	129	0.412	lncRNA
Cp_V2_contig_11135	611	63	0.103	lncRNA
Cp_V2_contig_11136	314	177	0.564	coding
Cp_V2_contig_11137	1741	570	0.327	lncRNA
Cp_V2_contig_11138	1471	159	0.108	lncRNA
Cp_V2_contig_11139	399	84	0.211	lncRNA
Cp_V2_contig_11140	1086	873	0.804	coding
Cp_V2_contig_11141	392	45	0.115	lncRNA
Cp_V2_contig_11142	1386	1152	0.831	coding
Cp_V2_contig_11143	534	78	0.146	lncRNA
Cp_V2_contig_11144	436	129	0.296	lncRNA
Cp_V2_contig_11145	730	174	0.238	lncRNA
Cp_V2_contig_11146	383	12	0.031	lncRNA
Cp_V2_contig_11147	859	213	0.248	lncRNA
Cp_V2_contig_11148	365	72	0.197	lncRNA
Cp_V2_contig_11149	549	99	0.180	lncRNA
Cp_V2_contig_11150	438	60	0.137	lncRNA
Cp_V2_contig_11151	910	135	0.148	lncRNA
Cp_V2_contig_11152	560	63	0.113	lncRNA
Cp_V2_contig_11153	814	792	0.973	coding
Cp_V2_contig_11154	1053	252	0.239	lncRNA
Cp_V2_contig_11155	1466	417	0.284	lncRNA
Cp_V2_contig_11156	680	66	0.097	lncRNA
Cp_V2_contig_11157	511	102	0.200	lncRNA
Cp_V2_contig_11158	435	57	0.131	lncRNA
Cp_V2_contig_11159	500	69	0.138	lncRNA
Cp_V2_contig_11160	378	57	0.151	lncRNA
Cp_V2_contig_11161	320	237	0.741	coding
Cp_V2_contig_11162	506	111	0.219	lncRNA
Cp_V2_contig_11163	3520	198	0.056	lncRNA
Cp_V2_contig_11164	515	201	0.390	lncRNA
Cp_V2_contig_11165	3775	2814	0.745	coding
Cp_V2_contig_11166	392	240	0.612	coding
Cp_V2_contig_11167	536	96	0.179	lncRNA
Cp_V2_contig_11168	887	642	0.724	coding
Cp_V2_contig_11169	1439	1005	0.698	coding
Cp_V2_contig_11170	386	0	0.000	lncRNA
Cp_V2_contig_11171	1258	123	0.098	lncRNA
Cp_V2_contig_11172	895	96	0.107	lncRNA
Cp_V2_contig_11173	492	60	0.122	lncRNA
Cp_V2_contig_11174	390	117	0.300	lncRNA
Cp_V2_contig_11175	745	195	0.262	lncRNA
Cp_V2_contig_11176	336	48	0.143	lncRNA
Cp_V2_contig_11177	415	87	0.210	lncRNA
Cp_V2_contig_11178	1243	294	0.237	lncRNA
Cp_V2_contig_11179	972	135	0.139	lncRNA
Cp_V2_contig_11180	978	447	0.457	lncRNA
Cp_V2_contig_11181	476	297	0.624	coding
Cp_V2_contig_11182	670	75	0.112	lncRNA
Cp_V2_contig_11183	1147	264	0.230	lncRNA
Cp_V2_contig_11184	307	48	0.156	lncRNA
Cp_V2_contig_11185	381	348	0.913	coding
Cp_V2_contig_11186	1400	183	0.131	lncRNA
Cp_V2_contig_11187	637	60	0.094	lncRNA
Cp_V2_contig_11188	782	87	0.111	lncRNA
Cp_V2_contig_11189	1126	303	0.269	lncRNA
Cp_V2_contig_11190	773	267	0.345	lncRNA
Cp_V2_contig_11191	425	297	0.699	coding
Cp_V2_contig_11192	553	57	0.103	lncRNA
Cp_V2_contig_11193	719	417	0.580	coding
Cp_V2_contig_11194	393	123	0.313	lncRNA
Cp_V2_contig_11195	397	231	0.582	coding
Cp_V2_contig_11196	866	396	0.457	lncRNA
Cp_V2_contig_11197	1554	885	0.569	coding
Cp_V2_contig_11198	609	132	0.217	lncRNA
Cp_V2_contig_11199	1502	711	0.473	lncRNA
Cp_V2_contig_11200	543	132	0.243	lncRNA
Cp_V2_contig_11201	428	408	0.953	coding
Cp_V2_contig_11202	1677	237	0.141	lncRNA
Cp_V2_contig_11203	1421	159	0.112	lncRNA
Cp_V2_contig_11204	1372	354	0.258	lncRNA
Cp_V2_contig_11205	1635	1365	0.835	coding
Cp_V2_contig_11206	1231	147	0.119	lncRNA
Cp_V2_contig_11207	1006	180	0.179	lncRNA
Cp_V2_contig_11208	542	174	0.321	lncRNA
Cp_V2_contig_11209	1161	162	0.140	lncRNA
Cp_V2_contig_11210	1073	819	0.763	coding
Cp_V2_contig_11211	362	105	0.290	lncRNA
Cp_V2_contig_11212	903	261	0.289	lncRNA
Cp_V2_contig_11213	2209	429	0.194	lncRNA
Cp_V2_contig_11214	1418	483	0.341	lncRNA
Cp_V2_contig_11215	336	69	0.205	lncRNA
Cp_V2_contig_11216	1602	216	0.135	lncRNA
Cp_V2_contig_11217	1063	84	0.079	lncRNA
Cp_V2_contig_11218	662	42	0.063	lncRNA
Cp_V2_contig_11219	361	51	0.141	lncRNA
Cp_V2_contig_11220	406	108	0.266	lncRNA
Cp_V2_contig_11221	354	69	0.195	lncRNA
Cp_V2_contig_11222	333	168	0.505	coding
Cp_V2_contig_11223	1304	387	0.297	lncRNA
Cp_V2_contig_11224	1123	255	0.227	lncRNA
Cp_V2_contig_11225	641	99	0.154	lncRNA
Cp_V2_contig_11226	625	261	0.418	lncRNA
Cp_V2_contig_11227	315	0	0.000	lncRNA
Cp_V2_contig_11228	791	222	0.281	lncRNA
Cp_V2_contig_11229	1294	978	0.756	coding
Cp_V2_contig_11230	1962	1224	0.624	coding
Cp_V2_contig_11231	360	42	0.117	lncRNA
Cp_V2_contig_11232	1233	342	0.277	lncRNA
Cp_V2_contig_11233	454	375	0.826	coding
Cp_V2_contig_11234	397	69	0.174	lncRNA
Cp_V2_contig_11235	639	399	0.624	coding
Cp_V2_contig_11236	521	0	0.000	lncRNA
Cp_V2_contig_11237	600	216	0.360	lncRNA
Cp_V2_contig_11238	701	270	0.385	lncRNA
Cp_V2_contig_11239	1181	138	0.117	lncRNA
Cp_V2_contig_11240	563	147	0.261	lncRNA
Cp_V2_contig_11241	540	42	0.078	lncRNA
Cp_V2_contig_11242	793	198	0.250	lncRNA
Cp_V2_contig_11243	2133	363	0.170	lncRNA
Cp_V2_contig_11244	783	462	0.590	coding
Cp_V2_contig_11245	751	315	0.419	lncRNA
Cp_V2_contig_11246	1525	201	0.132	lncRNA
Cp_V2_contig_11247	345	72	0.209	lncRNA
Cp_V2_contig_11248	306	42	0.137	lncRNA
Cp_V2_contig_11249	1117	120	0.107	lncRNA
Cp_V2_contig_11250	354	0	0.000	lncRNA
Cp_V2_contig_11251	927	495	0.534	coding
Cp_V2_contig_11252	883	744	0.843	coding
Cp_V2_contig_11253	1270	414	0.326	lncRNA
Cp_V2_contig_11254	2516	2094	0.832	coding
Cp_V2_contig_11255	479	90	0.188	lncRNA
Cp_V2_contig_11256	343	195	0.569	coding
Cp_V2_contig_11257	648	252	0.389	lncRNA
Cp_V2_contig_11258	420	99	0.236	lncRNA
Cp_V2_contig_11259	1424	135	0.095	lncRNA
Cp_V2_contig_11260	2100	504	0.240	lncRNA
Cp_V2_contig_11261	3617	435	0.120	lncRNA
Cp_V2_contig_11262	339	78	0.230	lncRNA
Cp_V2_contig_11263	456	51	0.112	lncRNA
Cp_V2_contig_11264	482	45	0.093	lncRNA
Cp_V2_contig_11265	309	117	0.379	lncRNA
Cp_V2_contig_11266	1452	1275	0.878	coding
Cp_V2_contig_11267	731	147	0.201	lncRNA
Cp_V2_contig_11268	744	222	0.298	lncRNA
Cp_V2_contig_11269	1666	1368	0.821	coding
Cp_V2_contig_11270	1529	246	0.161	lncRNA
Cp_V2_contig_11271	1166	75	0.064	lncRNA
Cp_V2_contig_11272	1243	219	0.176	lncRNA
Cp_V2_contig_11273	726	174	0.240	lncRNA
Cp_V2_contig_11274	1280	174	0.136	lncRNA
Cp_V2_contig_11275	2548	204	0.080	lncRNA
Cp_V2_contig_11276	1120	375	0.335	lncRNA
Cp_V2_contig_11277	716	108	0.151	lncRNA
Cp_V2_contig_11278	553	87	0.157	lncRNA
Cp_V2_contig_11279	1278	189	0.148	lncRNA
Cp_V2_contig_11280	342	189	0.553	coding
Cp_V2_contig_11281	382	183	0.479	lncRNA
Cp_V2_contig_11282	313	48	0.153	lncRNA
Cp_V2_contig_11283	355	6	0.017	lncRNA
Cp_V2_contig_11284	447	87	0.195	lncRNA
Cp_V2_contig_11285	409	45	0.110	lncRNA
Cp_V2_contig_11286	843	195	0.231	lncRNA
Cp_V2_contig_11287	927	327	0.353	lncRNA
Cp_V2_contig_11288	921	165	0.179	lncRNA
Cp_V2_contig_11289	308	132	0.429	lncRNA
Cp_V2_contig_11290	505	138	0.273	lncRNA
Cp_V2_contig_11291	1360	570	0.419	lncRNA
Cp_V2_contig_11292	379	39	0.103	lncRNA
Cp_V2_contig_11293	353	93	0.263	lncRNA
Cp_V2_contig_11294	434	81	0.187	lncRNA
Cp_V2_contig_11295	328	54	0.165	lncRNA
Cp_V2_contig_11296	396	0	0.000	lncRNA
Cp_V2_contig_11297	455	225	0.495	lncRNA
Cp_V2_contig_11298	313	96	0.307	lncRNA
Cp_V2_contig_11299	483	216	0.447	lncRNA
Cp_V2_contig_11300	479	45	0.094	lncRNA
Cp_V2_contig_11301	364	51	0.140	lncRNA
Cp_V2_contig_11302	710	117	0.165	lncRNA
Cp_V2_contig_11303	1141	219	0.192	lncRNA
Cp_V2_contig_11304	1569	216	0.138	lncRNA
Cp_V2_contig_11305	458	147	0.321	lncRNA
Cp_V2_contig_11306	449	138	0.307	lncRNA
Cp_V2_contig_11307	773	216	0.279	lncRNA
Cp_V2_contig_11308	539	318	0.590	coding
Cp_V2_contig_11309	552	0	0.000	lncRNA
Cp_V2_contig_11310	319	114	0.357	lncRNA
Cp_V2_contig_11311	421	60	0.143	lncRNA
Cp_V2_contig_11312	329	93	0.283	lncRNA
Cp_V2_contig_11313	491	87	0.177	lncRNA
Cp_V2_contig_11314	937	135	0.144	lncRNA
Cp_V2_contig_11315	1027	204	0.199	lncRNA
Cp_V2_contig_11316	713	78	0.109	lncRNA
Cp_V2_contig_11317	1429	1344	0.941	coding
Cp_V2_contig_11318	634	483	0.762	coding
Cp_V2_contig_11319	369	9	0.024	lncRNA
Cp_V2_contig_11320	429	60	0.140	lncRNA
Cp_V2_contig_11321	1863	1530	0.821	coding
Cp_V2_contig_11322	583	264	0.453	lncRNA
Cp_V2_contig_11323	591	510	0.863	coding
Cp_V2_contig_11324	452	24	0.053	lncRNA
Cp_V2_contig_11325	956	168	0.176	lncRNA
Cp_V2_contig_11326	392	90	0.230	lncRNA
Cp_V2_contig_11327	454	147	0.324	lncRNA
Cp_V2_contig_11328	2300	156	0.068	lncRNA
Cp_V2_contig_11329	692	72	0.104	lncRNA
Cp_V2_contig_11330	414	126	0.304	lncRNA
Cp_V2_contig_11331	376	132	0.351	lncRNA
Cp_V2_contig_11332	803	246	0.306	lncRNA
Cp_V2_contig_11333	411	72	0.175	lncRNA
Cp_V2_contig_11334	493	180	0.365	lncRNA
Cp_V2_contig_11335	1090	102	0.094	lncRNA
Cp_V2_contig_11336	718	213	0.297	lncRNA
Cp_V2_contig_11337	556	429	0.772	coding
Cp_V2_contig_11338	320	33	0.103	lncRNA
Cp_V2_contig_11339	379	42	0.111	lncRNA
Cp_V2_contig_11340	510	291	0.571	coding
Cp_V2_contig_11341	1458	273	0.187	lncRNA
Cp_V2_contig_11342	1486	294	0.198	lncRNA
Cp_V2_contig_11343	506	417	0.824	coding
Cp_V2_contig_11344	1201	45	0.037	lncRNA
Cp_V2_contig_11345	2007	1878	0.936	coding
Cp_V2_contig_11346	1058	321	0.303	lncRNA
Cp_V2_contig_11347	632	414	0.655	coding
Cp_V2_contig_11348	387	60	0.155	lncRNA
Cp_V2_contig_11349	452	0	0.000	lncRNA
Cp_V2_contig_11350	468	66	0.141	lncRNA
Cp_V2_contig_11351	743	51	0.069	lncRNA
Cp_V2_contig_11352	764	153	0.200	lncRNA
Cp_V2_contig_11353	519	168	0.324	lncRNA
Cp_V2_contig_11354	325	135	0.415	lncRNA
Cp_V2_contig_11355	1017	765	0.752	coding
Cp_V2_contig_11356	751	63	0.084	lncRNA
Cp_V2_contig_11357	1307	279	0.213	lncRNA
Cp_V2_contig_11358	323	57	0.176	lncRNA
Cp_V2_contig_11359	1272	240	0.189	lncRNA
Cp_V2_contig_11360	993	861	0.867	coding
Cp_V2_contig_11361	850	648	0.762	coding
Cp_V2_contig_11362	1686	1422	0.843	coding
Cp_V2_contig_11363	451	57	0.126	lncRNA
Cp_V2_contig_11364	568	120	0.211	lncRNA
Cp_V2_contig_11365	451	48	0.106	lncRNA
Cp_V2_contig_11366	543	111	0.204	lncRNA
Cp_V2_contig_11367	2108	1119	0.531	coding
Cp_V2_contig_11368	1241	195	0.157	lncRNA
Cp_V2_contig_11369	305	114	0.374	lncRNA
Cp_V2_contig_11370	1667	183	0.110	lncRNA
Cp_V2_contig_11371	1144	357	0.312	lncRNA
Cp_V2_contig_11372	330	54	0.164	lncRNA
Cp_V2_contig_11373	440	297	0.675	coding
Cp_V2_contig_11374	337	15	0.045	lncRNA
Cp_V2_contig_11375	1916	1359	0.709	coding
Cp_V2_contig_11376	779	132	0.169	lncRNA
Cp_V2_contig_11377	658	240	0.365	lncRNA
Cp_V2_contig_11378	779	126	0.162	lncRNA
Cp_V2_contig_11379	484	126	0.260	lncRNA
Cp_V2_contig_11380	2700	192	0.071	lncRNA
Cp_V2_contig_11381	362	48	0.133	lncRNA
Cp_V2_contig_11382	400	84	0.210	lncRNA
Cp_V2_contig_11383	463	213	0.460	lncRNA
Cp_V2_contig_11384	323	42	0.130	lncRNA
Cp_V2_contig_11385	2028	279	0.138	lncRNA
Cp_V2_contig_11386	436	0	0.000	lncRNA
Cp_V2_contig_11387	570	0	0.000	lncRNA
Cp_V2_contig_11388	347	39	0.112	lncRNA
Cp_V2_contig_11389	1165	39	0.033	lncRNA
Cp_V2_contig_11390	870	705	0.810	coding
Cp_V2_contig_11391	602	108	0.179	lncRNA
Cp_V2_contig_11392	409	60	0.147	lncRNA
Cp_V2_contig_11393	311	0	0.000	lncRNA
Cp_V2_contig_11394	328	96	0.293	lncRNA
Cp_V2_contig_11395	827	699	0.845	coding
Cp_V2_contig_11396	370	39	0.105	lncRNA
Cp_V2_contig_11397	330	39	0.118	lncRNA
Cp_V2_contig_11398	357	27	0.076	lncRNA
Cp_V2_contig_11399	1523	1212	0.796	coding
Cp_V2_contig_11400	343	0	0.000	lncRNA
Cp_V2_contig_11401	507	51	0.101	lncRNA
Cp_V2_contig_11402	414	111	0.268	lncRNA
Cp_V2_contig_11403	387	81	0.209	lncRNA
Cp_V2_contig_11404	1924	1755	0.912	coding
Cp_V2_contig_11405	404	186	0.460	lncRNA
Cp_V2_contig_11406	665	111	0.167	lncRNA
Cp_V2_contig_11407	771	666	0.864	coding
Cp_V2_contig_11408	319	57	0.179	lncRNA
Cp_V2_contig_11409	1071	165	0.154	lncRNA
Cp_V2_contig_11410	333	159	0.477	lncRNA
Cp_V2_contig_11411	2503	2154	0.861	coding
Cp_V2_contig_11412	1916	1488	0.777	coding
Cp_V2_contig_11413	437	48	0.110	lncRNA
Cp_V2_contig_11414	2298	2175	0.946	coding
Cp_V2_contig_11415	640	216	0.338	lncRNA
Cp_V2_contig_11416	4405	171	0.039	lncRNA
Cp_V2_contig_11417	615	168	0.273	lncRNA
Cp_V2_contig_11418	1751	165	0.094	lncRNA
Cp_V2_contig_11419	754	219	0.290	lncRNA
Cp_V2_contig_11420	503	21	0.042	lncRNA
Cp_V2_contig_11421	541	96	0.177	lncRNA
Cp_V2_contig_11422	958	495	0.517	coding
Cp_V2_contig_11423	500	120	0.240	lncRNA
Cp_V2_contig_11424	625	357	0.571	coding
Cp_V2_contig_11425	483	120	0.248	lncRNA
Cp_V2_contig_11426	590	42	0.071	lncRNA
Cp_V2_contig_11427	378	117	0.310	lncRNA
Cp_V2_contig_11428	498	63	0.127	lncRNA
Cp_V2_contig_11429	664	228	0.343	lncRNA
Cp_V2_contig_11430	1341	150	0.112	lncRNA
Cp_V2_contig_11431	750	270	0.360	lncRNA
Cp_V2_contig_11432	363	45	0.124	lncRNA
Cp_V2_contig_11433	558	78	0.140	lncRNA
Cp_V2_contig_11434	311	66	0.212	lncRNA
Cp_V2_contig_11435	1278	1017	0.796	coding
Cp_V2_contig_11436	1820	162	0.089	lncRNA
Cp_V2_contig_11437	389	96	0.247	lncRNA
Cp_V2_contig_11438	1924	75	0.039	lncRNA
Cp_V2_contig_11439	2493	2418	0.970	coding
Cp_V2_contig_11440	480	129	0.269	lncRNA
Cp_V2_contig_11441	416	60	0.144	lncRNA
Cp_V2_contig_11442	745	114	0.153	lncRNA
Cp_V2_contig_11443	659	63	0.096	lncRNA
Cp_V2_contig_11444	422	168	0.398	lncRNA
Cp_V2_contig_11445	4494	1284	0.286	lncRNA
Cp_V2_contig_11446	1056	72	0.068	lncRNA
Cp_V2_contig_11447	356	45	0.126	lncRNA
Cp_V2_contig_11448	826	168	0.203	lncRNA
Cp_V2_contig_11449	614	396	0.645	coding
Cp_V2_contig_11450	337	60	0.178	lncRNA
Cp_V2_contig_11451	444	84	0.189	lncRNA
Cp_V2_contig_11452	454	51	0.112	lncRNA
Cp_V2_contig_11453	1370	168	0.123	lncRNA
Cp_V2_contig_11454	795	171	0.215	lncRNA
Cp_V2_contig_11455	896	255	0.285	lncRNA
Cp_V2_contig_11456	524	243	0.464	lncRNA
Cp_V2_contig_11457	410	36	0.088	lncRNA
Cp_V2_contig_11458	1539	1353	0.879	coding
Cp_V2_contig_11459	477	90	0.189	lncRNA
Cp_V2_contig_11460	4178	255	0.061	lncRNA
Cp_V2_contig_11461	384	141	0.367	lncRNA
Cp_V2_contig_11462	342	210	0.614	coding
Cp_V2_contig_11463	774	597	0.771	coding
Cp_V2_contig_11464	1190	204	0.171	lncRNA
Cp_V2_contig_11465	1211	126	0.104	lncRNA
Cp_V2_contig_11466	548	114	0.208	lncRNA
Cp_V2_contig_11467	365	12	0.033	lncRNA
Cp_V2_contig_11468	756	186	0.246	lncRNA
Cp_V2_contig_11469	991	768	0.775	coding
Cp_V2_contig_11470	2051	1773	0.864	coding
Cp_V2_contig_11471	466	237	0.509	coding
Cp_V2_contig_11472	455	174	0.382	lncRNA
Cp_V2_contig_11473	722	78	0.108	lncRNA
Cp_V2_contig_11474	925	210	0.227	lncRNA
Cp_V2_contig_11475	517	141	0.273	lncRNA
Cp_V2_contig_11476	417	60	0.144	lncRNA
Cp_V2_contig_11477	1888	162	0.086	lncRNA
Cp_V2_contig_11478	1591	183	0.115	lncRNA
Cp_V2_contig_11479	1817	1611	0.887	coding
Cp_V2_contig_11480	316	270	0.854	coding
Cp_V2_contig_11481	860	651	0.757	coding
Cp_V2_contig_11482	453	30	0.066	lncRNA
Cp_V2_contig_11483	380	84	0.221	lncRNA
Cp_V2_contig_11484	556	90	0.162	lncRNA
Cp_V2_contig_11485	1873	1668	0.891	coding
Cp_V2_contig_11486	902	177	0.196	lncRNA
Cp_V2_contig_11487	370	90	0.243	lncRNA
Cp_V2_contig_11488	1145	891	0.778	coding
Cp_V2_contig_11489	494	60	0.121	lncRNA
Cp_V2_contig_11490	336	39	0.116	lncRNA
Cp_V2_contig_11491	752	165	0.219	lncRNA
Cp_V2_contig_11492	1205	306	0.254	lncRNA
Cp_V2_contig_11493	1486	210	0.141	lncRNA
Cp_V2_contig_11494	399	114	0.286	lncRNA
Cp_V2_contig_11495	1520	135	0.089	lncRNA
Cp_V2_contig_11496	568	408	0.718	coding
Cp_V2_contig_11497	1014	750	0.740	coding
Cp_V2_contig_11498	470	114	0.243	lncRNA
Cp_V2_contig_11499	1424	1356	0.952	coding
Cp_V2_contig_11500	406	75	0.185	lncRNA
Cp_V2_contig_11501	440	63	0.143	lncRNA
Cp_V2_contig_11502	1477	60	0.041	lncRNA
Cp_V2_contig_11503	1021	153	0.150	lncRNA
Cp_V2_contig_11504	412	30	0.073	lncRNA
Cp_V2_contig_11505	845	255	0.302	lncRNA
Cp_V2_contig_11506	747	105	0.141	lncRNA
Cp_V2_contig_11507	702	150	0.214	lncRNA
Cp_V2_contig_11508	1670	216	0.129	lncRNA
Cp_V2_contig_11509	381	132	0.346	lncRNA
Cp_V2_contig_11510	1439	252	0.175	lncRNA
Cp_V2_contig_11511	385	105	0.273	lncRNA
Cp_V2_contig_11512	679	87	0.128	lncRNA
Cp_V2_contig_11513	1573	324	0.206	lncRNA
